movie_code,Title,Revenue,Budget,Runtime,Opening_weekend_US,Rating,Production_company,Genre,IMDb_code,year_released,month_released,day_released
278,The Shawshank Redemption,28341469,25000000,142,28341469,R,Castle Rock Entertainment,"Drama, Crime",tt0111161,1994,09,23
238,The Godfather,245066411,6000000,175,245066411,R,"Paramount Pictures, Alfran Productions, American Zoetrope","Drama, Crime",tt0068646,1972,03,14
240,The Godfather Part II,102600000,13000000,202,102600000,R,"Paramount Pictures, The Coppola Company, American Zoetrope","Drama, Crime",tt0071562,1974,12,20
424,Schindler's List,321365567,22000000,195,321365567,R,Amblin Entertainment,"Drama, History, War",tt0108052,1993,12,15
389,12 Angry Men,4360000,397751,97,4360000,R,"United Artists, Orion-Nova Productions",Drama,tt0050083,1957,04,10
129,Spirited Away,274925095,19000000,125,274925095,R,Studio Ghibli,"Animation, Family, Fantasy",tt0245429,2001,04,18
19404,Dilwale Dulhania Le Jayenge,100000000,13200000,190,100000000,R,Yash Raj Films,"Comedy, Drama, Romance",tt0112870,1995,10,20
155,The Dark Knight,1004558444,185000000,152,1004558444,R,"DC, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures","Drama, Action, Crime, Thriller",tt0468569,2008,07,16
496243,Parasite,257591776,11363000,133,257591776,R,Barunson E&A,"Comedy, Thriller, Drama",tt6751668,2019,05,30
497,The Green Mile,286801374,60000000,189,286801374,R,"Castle Rock Entertainment, Darkwoods Productions","Fantasy, Drama, Crime",tt0120689,1999,12,10
372058,Your Name.,358000000,0,106,358000000,R,"CoMix Wave Films, TOHO, KADOKAWA, jeki, AMUSE, voque ting, Lawson Entertainment","Animation, Romance, Drama",tt5311514,2016,08,26
680,Pulp Fiction,213928762,8500000,154,213928762,R,"Miramax, A Band Apart, Jersey Films","Thriller, Crime",tt0110912,1994,09,10
122,The Lord of the Rings: The Return of the King,1118888979,94000000,201,1118888979,R,"New Line Cinema, WingNut Films, The Saul Zaentz Company","Adventure, Fantasy, Action",tt0167260,2003,12,01
13,Forrest Gump,677387716,55000000,142,677387716,R,"Paramount Pictures, The Steve Tisch Company, Wendy Finerman Productions","Comedy, Drama, Romance",tt0109830,1994,06,23
