IMDb_code,movie_code,year_review,month_review,day_review,rating_of_movie,ave_review_len,review_count,Title,Revenue,Budget,Runtime,Opening_weekend_US,Rating
tt0000417,775,2019,08,25,5.0,65.0,1,A Trip to the Moon,0,5985,15,0,R
tt0000417,775,2021,02,23,7.0,221.0,1,A Trip to the Moon,0,5985,15,0,R
tt0000417,775,2022,08,29,7.0,241.0,1,A Trip to the Moon,0,5985,15,0,R
tt0000417,775,2023,03,07,7.0,126.0,1,A Trip to the Moon,0,5985,15,0,R
tt0000439,5698,2023,10,28,6.0,81.0,1,The Great Train Robbery,0,150,12,0,R
tt0000439,5698,2024,06,30,7.0,160.0,1,The Great Train Robbery,0,150,12,0,R
tt0004972,618,2018,03,03,10.0,83.0,1,The Birth of a Nation,11000000,100000,193,11000000,R
tt0010323,234,2022,06,06,8.0,276.0,1,The Cabinet of Dr. Caligari,8811,18000,78,8811,R
tt0010323,234,2022,07,24,1.0,198.0,1,The Cabinet of Dr. Caligari,8811,18000,78,8811,R
tt0012349,10098,2016,02,25,8.0,36.0,1,The Kid,2500000,250000,68,2500000,R
tt0012349,10098,2021,07,28,6.0,597.0,1,The Kid,2500000,250000,68,2500000,R
tt0012349,10098,2024,07,14,8.0,294.0,1,The Kid,2500000,250000,68,2500000,R
tt0013442,653,2017,10,27,7.0,25.0,1,Nosferatu,19054,0,95,19054,R
tt0013442,653,2022,06,06,7.0,288.0,1,Nosferatu,19054,0,95,19054,R
tt0015324,992,2022,06,06,7.0,171.0,1,Sherlock Jr.,0,0,45,0,R
tt0015648,643,2022,06,06,8.0,310.0,1,Battleship Potemkin,45100,0,75,45100,R
tt0015864,962,2024,04,19,7.0,273.0,1,The Gold Rush,4000000,923000,95,4000000,R
tt0016220,964,2023,12,07,7.0,306.0,1,The Phantom of the Opera,2000000,0,107,2000000,R
tt0017136,19,2014,05,31,10.0,298.0,1,Metropolis,1350322,5300000,149,1350322,R
tt0017136,19,2022,06,06,8.0,332.0,1,Metropolis,1350322,5300000,149,1350322,R
tt0017925,961,2016,02,26,10.0,14.0,1,The General,1000000,750000,79,1000000,R
tt0017925,961,2022,06,06,8.0,208.0,1,The General,1000000,750000,79,1000000,R
tt0017925,961,2023,10,28,7.0,36.0,1,The General,1000000,750000,79,1000000,R
tt0018455,631,2014,05,17,7.0,23.0,1,Sunrise: A Song of Two Humans,0,0,94,0,R
tt0018455,631,2022,03,27,7.0,349.0,1,Sunrise: A Song of Two Humans,0,0,94,0,R
tt0018773,28978,2016,04,13,10.0,332.0,1,The Circus,0,9000000,72,0,R
tt0019254,780,2022,06,08,7.0,260.0,1,The Passion of Joan of Arc,18121,0,82,18121,R
tt0019421,25768,2022,06,06,7.0,274.0,1,"Steamboat Bill, Jr.",0,0,70,0,R
tt0020530,626,2019,10,12,5.0,218.0,1,Un Chien Andalou,0,0,21,0,R
tt0020629,143,2019,09,08,9.0,100.0,1,All Quiet on the Western Front,3270000,1448864,133,3270000,R
tt0020629,143,2022,10,28,9.0,127.0,1,All Quiet on the Western Front,3270000,1448864,133,3270000,R
tt0020697,228,2022,06,06,8.0,142.0,1,The Blue Angel,0,0,108,0,R
tt0021749,901,2024,07,14,7.0,279.0,1,City Lights,4250000,1500000,87,4250000,R
tt0021814,138,2016,09,28,9.0,165.0,1,Dracula,700000,355000,74,700000,R
tt0021814,138,2021,10,07,8.0,50.0,1,Dracula,700000,355000,74,700000,R
tt0021814,138,2022,07,26,10.0,88.0,1,Dracula,700000,355000,74,700000,R
